Date,Open,High,Low,Close,Volume,RSI,MACD,MACDSig,MACDHist,Split,Dividend
11/09/2020,120.5,121.99,116.05,116.32,154515365,48.2,-7.26,-10.76,3.5,/,/
11/10/2020,115.55,117.59,114.13,116.0,135890024,48.67,-6.67,-9.94,3.27,/,/
11/11/2020,117.19,119.63,116.44,119.49,112296490,55.32,-5.85,-9.12,3.27,/,/
11/12/2020,119.62,120.53,118.57,119.21,103461310,56.01,-5.16,-8.33,3.17,/,/
11/13/2020,119.44,119.6717,117.87,119.26,81688662,56.06,-4.56,-7.58,3.02,/,/
11/16/2020,118.91,120.99,118.146,120.3,91200737,55.41,-3.96,-6.86,2.9,/,/
11/17/2020,119.55,120.6741,118.96,119.39,74348667,63.77,-3.51,-6.19,2.68,/,/
11/18/2020,118.61,119.82,118.0,118.03,76121859,55.02,-3.23,-5.6,2.37,/,/
11/19/2020,117.59,119.06,116.81,118.64,74190872,73.15,-2.92,-5.06,2.14,/,/
11/20/2020,118.65,118.77,117.29,117.34,75214531,69.19,-2.75,-4.6,1.85,/,/
11/23/2020,117.18,117.6202,113.75,113.85,127966657,57.06,-2.87,-4.25,1.38,/,/
11/24/2020,113.91,115.85,112.59,115.17,113874911,50.52,-2.82,-3.96,1.14,/,/
11/25/2020,115.55,116.75,115.17,116.03,76499284,41.54,-2.69,-3.71,1.02,/,/
11/27/2020,116.57,117.49,116.22,116.59,46691333,44.15,-2.51,-3.47,0.96,/,/
11/30/2020,116.97,120.97,116.81,119.05,169410731,57.56,-2.14,-3.2,1.06,/,/
12/01/2020,121.01,123.4693,120.01,122.72,128174956,65.7,-1.54,-2.87,1.33,/,/
12/02/2020,122.02,123.37,120.89,123.08,89011561,59.82,-1.02,-2.5,1.48,/,/
12/03/2020,123.52,123.78,122.21,122.94,78967851,60.29,-0.61,-2.12,1.51,/,/
12/04/2020,122.6,122.8608,121.52,122.25,78265161,57.96,-0.34,-1.76,1.42,/,/
12/07/2020,122.31,124.57,122.25,123.75,86712321,58.97,-0.01,-1.41,1.4,/,/
12/08/2020,124.37,124.98,123.09,124.38,82226271,63.17,0.31,-1.07,1.38,/,/
12/09/2020,124.53,125.95,121.0,121.68,115090293,58.99,0.34,-0.79,1.13,/,/
12/10/2020,120.5,123.87,120.15,123.24,81314050,60.83,0.48,-0.54,1.02,/,/
12/11/2020,122.43,122.76,120.55,122.41,86941761,62.21,0.52,-0.33,0.85,/,/
12/14/2020,122.6,123.35,121.54,121.78,79876358,72.14,0.5,-0.16,0.66,/,/
12/15/2020,124.34,127.9,124.13,127.88,157665803,78.01,0.96,0.06,0.9,/,/
12/16/2020,127.41,128.37,126.56,127.81,98228690,76.89,1.3,0.31,0.99,/,/
12/17/2020,128.9,129.58,128.045,128.7,94364178,77.24,1.63,0.57,1.06,/,/
12/18/2020,128.96,129.1,126.12,126.655,192555445,67.43,1.7,0.8,0.9,/,/
12/21/2020,125.02,128.31,123.449,128.23,121252229,63.97,1.86,1.01,0.85,/,/
12/22/2020,131.61,134.405,129.65,131.88,169787086,69.12,2.26,1.26,1.0,/,/
12/23/2020,132.16,132.43,130.78,130.96,88239337,66.86,2.47,1.5,0.97,/,/
12/24/2020,131.32,133.46,131.1,131.97,54930664,70.16,2.69,1.74,0.95,/,/
12/28/2020,133.99,137.34,133.51,136.69,124490748,73.67,3.2,2.03,1.17,/,/
12/29/2020,138.04,138.789,134.3409,134.87,121048953,68.39,3.42,2.31,1.11,/,/
12/30/2020,135.58,135.99,133.4,133.72,95552641,72.32,3.47,2.54,0.93,/,/
12/31/2020,134.08,134.74,131.72,132.69,99117070,67.87,3.38,2.71,0.67,/,/
